concept_code,insumo_code,quantity,valid_from
ALB-001,MAT-001,12.5,2025-01-01
ALB-001,MAT-002,6.25,2025-01-01
ALB-001,MAT-003,0.04,2025-01-01
ALB-001,MO-002,0.25,2025-01-01
ALB-001,MO-003,0.25,2025-01-01
ALB-001,HER-001,0.03,2025-01-01
ALB-002,MAT-002,31.25,2025-01-01
ALB-002,MAT-003,0.07,2025-01-01
ALB-002,MAT-004,0.14,2025-01-01
ALB-002,MAT-005,9.50,2025-01-01
ALB-002,MAT-006,0.30,2025-01-01
ALB-002,MO-002,0.35,2025-01-01
ALB-002,MO-003,0.35,2025-01-01
ALB-002,EQ-001,0.25,2025-01-01
ALB-002,HER-001,0.03,2025-01-01
EXC-001,MO-001,0.45,2025-01-01
EXC-001,HER-001,0.05,2025-01-01
CON-001,MAT-002,50.0,2025-01-01
CON-001,MAT-003,0.50,2025-01-01
CON-001,MAT-004,0.75,2025-01-01
CON-001,MAT-005,12.00,2025-01-01
CON-001,MO-002,0.40,2025-01-01
CON-001,MO-003,0.40,2025-01-01
CON-001,EQ-001,0.30,2025-01-01
CON-001,EQ-002,0.20,2025-01-01
ACB-001,MAT-007,8.50,2025-01-01
ACB-001,MO-002,0.20,2025-01-01
ACB-001,HER-001,0.02,2025-01-01
ACB-002,MAT-008,0.25,2025-01-01
ACB-002,MO-002,0.15,2025-01-01
ACB-002,HER-001,0.01,2025-01-01
