insumo_code,location_code,price,currency,valid_from
MAT-001,MX-CDMX,8.50,MXN,2025-01-01
MAT-002,MX-CDMX,4.20,MXN,2025-01-01
MAT-003,MX-CDMX,350.00,MXN,2025-01-01
MAT-004,MX-CDMX,420.00,MXN,2025-01-01
MAT-005,MX-CDMX,18.50,MXN,2025-01-01
MAT-006,MX-CDMX,25.00,MXN,2025-01-01
MAT-007,MX-CDMX,6.80,MXN,2025-01-01
MAT-008,MX-CDMX,95.00,MXN,2025-01-01
MO-001,MX-CDMX,280.00,MXN,2025-01-01
MO-002,MX-CDMX,420.00,MXN,2025-01-01
MO-003,MX-CDMX,320.00,MXN,2025-01-01
MO-004,MX-CDMX,480.00,MXN,2025-01-01
EQ-001,MX-CDMX,85.00,MXN,2025-01-01
EQ-002,MX-CDMX,65.00,MXN,2025-01-01
EQ-003,MX-CDMX,45.00,MXN,2025-01-01
HER-001,MX-CDMX,1.00,MXN,2025-01-01
MAT-001,MX-GDL,8.00,MXN,2025-01-01
MAT-002,MX-GDL,4.00,MXN,2025-01-01
MAT-003,MX-GDL,320.00,MXN,2025-01-01
MO-001,MX-GDL,260.00,MXN,2025-01-01
MO-002,MX-GDL,390.00,MXN,2025-01-01
MO-003,MX-GDL,300.00,MXN,2025-01-01
